Movie_code,Movie_Name,관객수
20196309,스파이더맨: 파 프롬 홈,2163521
20183867,알라딘,938600
20184047,토이 스토리 4,367361
20185353,기방도령,217361
20183782,기생충,145529
20185986,진범,105676
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,100054
20199951,애나벨 집으로,60543
20196655,존 윅 3: 파라벨룸,59459
20192151,미드소마,45182
20198453,롱 리브 더 킹: 목포 영웅,52133
20190273,천로역정: 천국을 찾아서,28574
20182585,비스트,21669
20192591,BIFAN2019 판타스틱 단편 걸작선 1,15200
20192022,마담 싸이코,33309
20196657,맨 인 블랙: 인터내셔널,27263
20190885,사탄의 인형,46546
20182387,엑스맨: 다크 피닉스,15909
20190466,세상을 바꾼 변호인,14274
19880001,이웃집 토토로,41159
20191401,업사이드,26962
20198291,로켓맨,26252
20184889,어벤져스: 엔드게임,12483
20188941,악인전,65792
20184865,고질라: 킹 오브 몬스터,51710
20199063,빅샤크2: 해저2만리,42785
20188144,0.0MHz,26441
20184082,걸캅스,80436
20199448,어린 의뢰인,43881
20198597,교회오빠,17463
20199822,더 보이,16901
20187981,배심원들,78092
20198598,명탐정 피카츄,45292
20185784,나의 특별한 형제,31643
20198183,뽀로로 극장판 보물섬 대모험,31085
20185384,호텔 뭄바이,24134
20197503,서스페리아,18121
20197147,어글리 돌,13275
20169323,안도 타다오,7440
20183096,생일,22727
20181877,캡틴 마블,12839
20060347,판의 미로 - 오필리아와 세 개의 열쇠,10117
20199736,프렌즈: 둥지탈출,9935
20183454,요로나의 저주,36065
20180825,미성년,31204
20198982,크게 될 놈,28048
19990220,노팅 힐,18539
20176103,돈,10678
20198104,바이스,10115
20185406,헬보이,91667
20182501,왓칭,44296
20198844,아이 엠 마더,31860
20196244,샤잠!,136321
20185352,어스,106340
20197423,공포의 묘지,86527
20183773,장난스런 키스,71764
20198403,파이브 피트,60449
20196025,덤보,83417
20197092,로망,40566
20198146,콜레트,12882
20197846,악질경찰,64847
20175407,우상,37601
20166301,썬키스 패밀리,23812
20197483,1919 유관순,22307
20197283,이스케이프 룸,154892
20197356,라스트 미션,29174
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,23008
20197617,정글북: 마법 원정대,22534
20184574,그린 북,15491
20196601,항거:유관순 이야기,15082
20182530,극한직업,64686
20185881,증인,61859
20177539,사바하,49235
20196723,숲속왕국의 꿀벌 여왕,17796
20180937,더 페이버릿: 여왕의 여자,28592
20177282,리노,16303
20176442,자전차왕 엄복동,14554
20195743,신데렐라:마법 반지의 비밀,14386
20195791,"어쩌다, 결혼",69804
20186261,드래곤 길들이기 3,68042
20188282,알리타: 배틀 엔젤,60860
20195915,해피 데스데이 2 유,104255
20020222,해리포터와 비밀의 방,79301
20185576,콜드 체이싱,78016
20184888,메리 포핀스 리턴즈,69028
20174169,기묘한 가족,203118
20180868,뺑반,88953
20162003,명탐정 코난:전율의 악보,83376
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,34913
20185444,레고 무비2,68501
20184105,말모이,65190
20185124,러브 유어셀프 인 서울,43159
20184896,가버나움,33786
20176251,내안의 그놈,39678
20189463,주먹왕 랄프 2: 인터넷 속으로,19719
20182544,글래스,112753
20186324,언더독,54264
20185485,보헤미안 랩소디,43896
20189385,몬스터 파크,29802
20180290,아쿠아맨,98500
20183915,극장판 공룡메카드: 타이니소어의 섬,89691
20182588,미래의 미라이,74982
20186281,범블비,63391
20170658,PMC: 더 벙커,57525
20175547,스윙키즈,34868
20183785,점박이 한반도의 공룡2 : 새로운 낙원,187427
20184187,언니,171095
20182421,그린치,84999
20168773,마약왕,577646
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,147214
20183238,스파이더맨: 뉴 유니버스,86533
20177552,국가부도의 날,187915
20179230,도어락,118610
20183375,극장판 포켓몬스터 모두의 이야기,85371
20189843,호두까기 인형과 4개의 왕국,178489
20182082,부탁 하나만 들어줘,84096
20178825,모털 엔진,58698
20183745,런닝맨 : 풀룰루의 역습,57836
20177538,완벽한 타인,48328
20184481,성난황소,115599
20181905,후드,49400
20176814,신비한 동물들과 그린델왈드의 범죄,41505
20183073,베일리 어게인,33185
20181171,바울,28077
20183007,거미줄에 걸린 소녀,24766
20182966,투 프렌즈,20065
20183050,번 더 스테이지: 더 무비,63334
20182935,출국,34432
20182669,툴리,23225
20186822,너의 췌장을 먹고 싶어,15028
20170513,동네사람들,93410
20189869,해피 투게더,13904
20174981,창궐,64735
20010291,해리포터와 마법사의 돌,57967
20179006,여곡성,54872
20181404,벽 속에 숨은 마법시계,41891
20180523,스타 이즈 본,33777
20182693,구스범스: 몬스터의 역습,20914
20180987,할로윈,90017
20179189,암수살인,79961
20189067,미쓰백,69853
20182403,크레이지 리치 아시안,41521
20186321,퍼스트맨,207278
20177221,베놈,178936
20189123,곰돌이 푸 다시 만나 행복해,27142
20176122,안시성,59080
20184678,배반의 장미,28878
20187521,펭귄 하이웨이,23290
20180628,액슬,11809
20180770,다이노 어드벤처2: 육해공 공룡 대백과,34822
20189462,셜록 놈즈,24508
20177308,협상,21339
20188661,에브리데이,18294
20172204,명당,95261
20167903,원더풀 고스트,62167
20189262,더 넌,42712
20185046,서치,26112
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,104438
20189268,루이스,59239
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,26043
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,20096
20156554,물괴,88206
20153446,너의 결혼식,39407
20188581,더 프레데터,20416
20189362,업그레이드,68574
20177537,상류사회,43658
20181942,맘마미아!2,33836
20186202,신과함께-인과 연,33428
20179101,공작,18740
20170670,목격자,58521
20189261,어드리프트:우리가 함께한 바다,40299
20187647,나를 차버린 스파이,22963
20181181,미션 임파서블: 폴아웃,38257
20139221,그래비티,33356
20184802,몬스터 호텔 3,119124
20183584,메가로돈,102110
20187657,마일22,51142
20187641,극장판 도라에몽: 진구의 보물섬,136993
20187427,명탐정 코난 : 제로의 집행인,95108
20186501,극장판 헬로카봇 : 백악기 시대,68889
20183361,인크레더블 2,108587
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,45919
20186121,어느 가족,31594
20170942,인랑,131993
20180522,앤트맨과 와스프,39820
20185341,마녀,24487
